Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
        2 vehicles available,"56,343","±3,359","128,772","±4,374","1,063,587","±15,184","359,095","±8,970","1,615,195","±20,045","1,796,186","±21,273","157,431","±4,654","431,685","±11,441","164,323","±6,091","154,051","±3,674"
        3 or more vehicles available,"36,640","±3,012","76,626","±4,013","604,501","±13,912","203,061","±6,914","1,043,070","±15,731","889,257","±14,287","91,605","±4,428","200,412","±8,679","89,834","±4,339","96,246","±3,229"
HOUSE HEATING FUEL,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        Utility gas,"114,316","±3,983","215,946","±4,477","1,179,311","±12,842","584,998","±8,380","2,871,527","±19,543","4,865,976","±29,048","268,756","±5,415","61,158","±5,429","220,245","±6,360","236,797","±3,536"
"        Bottled, tank, or LP gas","3,010",±935,"13,538","±1,524","61,105","±4,735","38,988","±2,750","81,253","±5,304","215,984","±8,763","19,040","±1,997","8,754","±1,858","9,292","±1,578","17,578","±1,331"
        Electricity,"20,785","±2,664","73,640","±4,565","1,456,942","±14,819","270,136","±7,911","1,322,994","±17,361","1,206,487","±19,919","104,420","±4,705","965,436","±10,129","204,917","±6,504","150,279","±3,293"
"        Fuel oil, kerosene, etc.","5,854",±905,274,±287,"2,108","±1,215",746,±377,"6,104","±1,696","967,368","±17,581",464,±270,"1,794",±896,255,±208,275,±166
        Coal or coke,52,±86,156,±250,117,±191,341,±321,818,±428,"3,401","±1,229",0,±210,0,±243,66,±110,37,±62
        Wood,"3,417",±752,"2,509",±648,"1,259",±424,"4,548","±1,205","8,709","±1,706","11,324","±1,785",948,±406,674,±523,"1,329",±662,"3,492",±596
        Solar energy,0,±170,"1,741",±718,"4,260","±1,498","1,449",±662,"29,821","±2,442","12,916","±2,040",115,±113,"15,401","±2,524","4,788","±1,133",180,±128
        Other fuel,541,±301,"1,484",±761,"6,335","±2,103","2,763",±945,"6,444","±1,497","83,259","±5,342","1,543",±570,964,±676,559,±426,"1,186",±332
        No fuel used,"1,020",±501,"2,242",±824,"20,406","±2,934","2,535",±906,"215,328","±7,320","123,783","±7,562","2,483",±875,"19,481","±3,085","4,020","±1,251","1,496",±465
SELECTED CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        Lacking complete plumbing facilities,"2,444",±811,"1,259",±716,"10,043","±1,959","3,454","±1,127","20,057","±2,809","29,129","±3,266",970,±472,"3,184","±1,431","2,224","±1,040","1,663",±531
        Lacking complete kitchen facilities,"2,515",±901,"1,471",±712,"19,226","±3,080","7,644","±1,710","72,299","±5,363","58,041","±4,384","3,951","±1,018","7,159","±1,819","2,957",±907,"3,883",±671
